AtomicNumber;Element;Symbol;AtomicMass;Phase;Radioactive;Natural;Type;MeltingPoint;BoilingPoint;Discoverer;Year;NumberofShells;NumberofValence
84;Polonium;Po;210;solid;yes;yes;Metalloid;527.15;1235;Curie;1898;6;6
85;Astatine;At;210;solid;yes;yes;Noble Gas;575.15;610;Corson et al.;1940;6;7
86;Radon;Rn;222;gas;yes;yes;Alkali Metal;202.15;211.3;Dorn;1900;6;8
87;Francium;Fr;223;solid;yes;yes;Alkaline Earth Metal;300.15;950;Perey;1939;7;1
88;Radium;Ra;226;solid;yes;yes;Actinide;973.15;2010;Pierre and Marie Curie;1898;7;2
89;Actinium;Ac;227;solid;yes;yes;Actinide;1323.15;3471;Debierne/Giesel;1899;7;
90;Thorium;Th;232.038;solid;yes;yes;Actinide;2028.15;5061;Berzelius;1828;7;
91;Protactinium;Pa;231.036;solid;yes;yes;Actinide;1873.15;4300;Hahn and Meitner;1917;7;
92;Uranium;U;238.029;solid;yes;yes;Actinide;1405.15;4404;Peligot;1841;7;
93;Neptunium;Np;237;artificial;yes;;Actinide;913.15;4273;McMillan and Abelson;1940;7;
94;Plutonium;Pu;244;artificial;yes;;Actinide;913.15;3501;Seaborg et al.;1940;7;
95;Americium;Am;243;artificial;yes;;Actinide;1267.15;2880;Seaborg et al.;1944;7;
96;Curium;Cm;247;artificial;yes;;Actinide;1340.15;3383;Seaborg et al.;1944;7;
97;Berkelium;Bk;247;artificial;yes;;Actinide;1259.15;983;Seaborg et al.;1949;7;
98;Californium;Cf;251;artificial;yes;;Actinide;1925.15;1173;Seaborg et al.;1950;7;
99;Einsteinium;Es;252;artificial;yes;;Actinide;1133.15;;Ghiorso et al.;1952;7;
100;Fermium;Fm;257;artificial;yes;;Actinide;;;Ghiorso et al.;1953;7;
101;Mendelevium;Md;258;artificial;yes;;Actinide;;;Ghiorso et al.;1955;7;
102;Nobelium;No;259;artificial;yes;;Actinide;;;Ghiorso et al.;1958;7;
103;Lawrencium;Lr;262;artificial;yes;;Actinide;;;Ghiorso et al.;1961;7;
104;Rutherfordium;Rf;261;artificial;yes;;Transactinide;;;Ghiorso et al.;1969;7;
105;Dubnium;Db;262;artificial;yes;;Transactinide;;;Ghiorso et al.;1970;7;
106;Seaborgium;Sg;266;artificial;yes;;Transactinide;;;Ghiorso et al.;1974;7;
